HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Celtic,Ross County,4,2,H,3,0,H,18,7,12,2,6,14,4,8,0,4,0,0
Dundee,Motherwell,1,1,D,0,1,A,17,13,2,3,12,12,7,12,0,2,0,0
Livingston,Aberdeen,0,0,D,0,0,D,12,11,2,0,22,13,7,7,3,4,0,0
St Johnstone,Hearts,0,2,A,0,0,D,9,16,3,9,14,13,6,9,2,3,0,0
Kilmarnock,Rangers,1,0,H,0,0,D,10,18,3,4,7,10,2,8,0,0,0,0
Hibernian,St Mirren,2,3,A,0,2,A,14,8,7,4,14,7,2,7,2,2,0,0
Rangers,Livingston,4,0,H,1,0,H,21,6,9,2,9,9,5,4,1,1,0,0
Ross County,St Johnstone,2,0,H,1,0,H,19,12,8,3,11,14,6,7,2,2,0,0
St Mirren,Dundee,2,1,H,2,0,H,15,7,2,4,8,8,4,3,2,3,0,0
Aberdeen,Celtic,1,3,A,1,2,A,11,15,2,10,12,11,9,9,0,2,0,0
Hearts,Kilmarnock,0,0,D,0,0,D,8,15,1,5,12,15,6,5,3,4,0,0
Motherwell,Hibernian,2,1,H,0,0,D,10,4,3,1,14,16,5,2,1,4,0,0
Ross County,Rangers,0,2,A,0,2,A,8,24,2,9,10,11,4,8,3,1,0,0
Celtic,St Johnstone,0,0,D,0,0,D,19,5,5,2,9,12,19,1,1,3,0,0
Hibernian,Livingston,2,3,A,0,1,A,13,8,3,4,12,10,9,3,2,4,0,0
Motherwell,Kilmarnock,2,1,H,0,1,A,13,12,7,3,15,19,1,6,6,3,0,0
Dundee,Hearts,1,0,H,0,0,D,12,10,4,5,16,10,3,8,1,1,0,0
St Mirren,Aberdeen,2,2,D,0,1,A,13,4,6,2,9,14,4,3,2,2,0,0
Kilmarnock,Ross County,0,1,A,0,0,D,15,9,4,4,9,17,14,2,0,5,0,0
Livingston,St Mirren,1,1,D,0,0,D,13,8,2,4,17,13,6,2,3,1,0,0
St Johnstone,Dundee,2,2,D,0,1,A,8,12,3,4,13,11,4,6,3,0,0,0
Rangers,Celtic,0,1,A,0,1,A,17,7,3,5,15,15,6,2,1,1,0,0
Aberdeen,Hibernian,0,2,A,0,0,D,10,15,3,7,15,11,7,5,2,4,0,0
Hearts,Motherwell,0,1,A,0,1,A,18,8,1,4,10,16,16,5,1,2,0,1
St Johnstone,Rangers,0,2,A,0,1,A,3,20,0,6,13,13,3,5,5,2,0,0
Celtic,Dundee,3,0,H,0,0,D,19,4,7,1,6,7,9,1,0,0,0,0
Hearts,Aberdeen,2,0,H,1,0,H,12,11,4,5,11,12,9,3,4,2,0,0
