HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Volos NFC,Lamia,2,2,D,0,0,D,8,13,4,8,13,16,7,0,3,2,0,0
Giannina,Kifisia,3,0,H,1,0,H,10,4,7,0,16,19,7,2,3,4,1,0
OFI Crete,Aris,3,2,H,2,1,H,13,16,4,7,25,13,3,4,5,3,0,0
PAOK,Asteras Tripolis,3,0,H,1,0,H,13,9,6,2,5,12,3,1,2,1,0,0
Olympiakos,Panserraikos,2,0,H,0,0,D,29,5,3,2,19,7,8,3,3,0,0,1
Panetolikos,Giannina,0,0,D,0,0,D,17,8,7,2,16,19,2,3,1,4,0,0
Asteras Tripolis,OFI Crete,3,0,H,2,0,H,12,16,4,6,16,16,3,4,1,3,0,0
Panathinaikos,Volos NFC,3,0,H,2,0,H,14,5,8,3,16,19,6,1,1,3,0,0
AEK,Panserraikos,1,1,D,0,1,A,29,7,10,4,6,20,12,1,1,6,0,0
Lamia,Aris,1,0,H,1,0,H,7,7,4,3,22,16,2,2,4,4,1,0
PAOK,Kifisia,2,1,H,1,0,H,19,6,8,3,12,14,8,5,1,5,0,0
Olympiakos,Atromitos,4,0,H,2,0,H,24,3,9,1,9,9,5,2,1,5,0,1
Kifisia,Atromitos,2,1,H,1,0,H,14,13,7,9,14,12,5,8,3,1,0,1
Panserraikos,Panetolikos,1,1,D,1,0,H,14,8,3,4,14,15,4,6,3,1,0,0
Aris,Asteras Tripolis,3,2,H,1,1,D,10,4,6,4,14,13,3,5,1,3,0,0
OFI Crete,PAOK,1,0,H,0,0,D,7,12,2,4,20,17,1,5,4,5,0,0
Olympiakos,Lamia,4,0,H,2,0,H,17,8,8,3,14,14,5,2,2,3,0,0
Volos NFC,AEK,2,3,A,1,2,A,7,11,5,7,18,17,3,8,4,1,0,1
Giannina,Panathinaikos,0,1,A,0,0,D,11,11,4,2,11,19,2,8,6,2,0,0
Lamia,OFI Crete,2,2,D,0,1,A,7,12,2,4,7,16,6,7,1,3,0,0
Panetolikos,Panathinaikos,0,5,A,0,2,A,11,18,4,10,10,13,3,6,2,1,0,0
Asteras Tripolis,Giannina,2,2,D,2,2,D,10,7,4,6,15,9,8,1,2,3,0,0
Kifisia,Panserraikos,4,4,D,0,3,A,19,9,6,4,16,22,3,3,3,5,0,1
PAOK,Aris,0,0,D,0,0,D,10,8,3,4,17,13,7,1,4,3,0,0
AEK,Olympiakos,1,1,D,1,1,D,9,7,4,3,15,21,5,5,2,4,0,0
Atromitos,Volos NFC,1,1,D,1,0,H,8,10,1,1,13,19,4,1,3,2,0,0
OFI Crete,Atromitos,1,1,D,1,0,H,16,9,5,4,13,18,8,4,3,4,0,0
Panserraikos,Lamia,2,0,H,0,0,D,14,4,7,1,14,19,3,1,1,2,0,0
Olympiakos,Kifisia,4,0,H,2,0,H,13,8,7,2,18,11,7,1,1,2,0,0
Aris,Panetolikos,3,0,H,1,0,H,14,5,6,3,10,8,6,5,0,2,0,0
Volos NFC,Asteras Tripolis,1,2,A,0,2,A,13,16,7,6,18,18,1,5,4,3,0,0
Giannina,PAOK,1,3,A,1,2,A,10,10,3,5,10,9,8,6,4,2,0,0
Panathinaikos,AEK,1,2,A,1,1,D,10,15,5,4,13,21,6,6,3,4,0,0
Panetolikos,OFI Crete,1,1,D,1,1,D,18,21,6,10,7,13,3,7,2,2,0,0
Kifisia,Lamia,1,1,D,0,0,D,17,8,4,4,14,12,6,8,4,3,1,0
Olympiakos,Aris,4,1,H,1,0,H,20,7,5,1,17,7,8,1,2,0,0,0
PAOK,Volos NFC,3,0,H,2,0,H,17,5,10,2,14,13,5,3,0,1,0,0
Panserraikos,Giannina,3,2,H,2,1,H,12,6,6,3,10,11,4,4,5,3,0,1
Asteras Tripolis,Panathinaikos,1,4,A,1,2,A,9,9,4,7,7,9,2,4,3,1,0,0
AEK,Atromitos,2,1,H,1,0,H,18,5,8,2,9,10,6,1,2,4,1,0
Lamia,Panetolikos,1,0,H,1,0,H,7,13,3,1,16,18,2,5,2,4,0,0
Aris,Kifisia,1,1,D,1,0,H,12,10,6,4,13,20,5,3,2,7,0,0
Panathinaikos,PAOK,2,2,D,1,1,D,22,5,13,2,10,13,7,2,2,4,0,0
Giannina,Olympiakos,0,3,A,0,2,A,5,25,0,9,10,14,2,6,3,2,0,0
Atromitos,Asteras Tripolis,0,0,D,0,0,D,8,8,1,4,8,22,4,5,1,5,1,0
OFI Crete,AEK,2,0,H,1,0,H,7,14,5,4,10,17,2,4,4,3,0,0
AEK,Panetolikos,3,0,H,2,0,H,23,7,9,4,10,15,9,5,0,2,0,0
Panathinaikos,Atromitos,5,0,H,3,0,H,14,5,10,1,15,8,2,1,0,1,1,1
Lamia,Giannina,2,1,H,2,1,H,15,12,7,2,17,13,4,3,3,3,0,0
Panetolikos,Volos NFC,2,0,H,1,0,H,13,11,6,1,18,8,3,6,2,3,0,0
Aris,Panserraikos,1,0,H,0,0,D,20,5,6,2,15,18,8,2,3,6,0,0
Asteras Tripolis,AEK,0,3,A,0,1,A,4,15,1,5,8,9,2,3,6,5,1,0
Kifisia,OFI Crete,0,0,D,0,0,D,8,9,2,3,8,16,5,4,2,6,1,0
PAOK,Atromitos,2,0,H,1,0,H,15,6,5,3,16,13,8,1,3,3,0,0
Volos NFC,Kifisia,2,1,H,1,0,H,17,9,6,2,12,17,4,8,4,6,0,2
Atromitos,Panetolikos,3,2,H,0,1,A,10,6,5,3,19,16,1,2,2,2,0,1
Asteras Tripolis,Lamia,0,1,A,0,0,D,11,10,5,4,14,10,5,2,2,3,0,0
Panathinaikos,Panserraikos,5,0,H,3,0,H,13,7,6,1,22,11,7,1,2,4,0,1
Aris,Giannina,2,0,H,0,0,D,17,2,7,0,11,9,6,1,4,2,0,1
AEK,PAOK,2,0,H,1,0,H,15,4,3,2,14,9,5,2,4,5,0,0
OFI Crete,Olympiakos,0,2,A,0,1,A,4,13,0,3,7,18,2,3,1,3,0,0
Lamia,Panathinaikos,1,2,A,0,1,A,13,9,4,6,17,16,3,3,3,6,0,1
Kifisia,AEK,1,1,D,0,0,D,7,18,2,6,10,13,5,8,2,2,0,0
Panetolikos,Asteras Tripolis,0,1,A,0,1,A,15,4,4,3,23,13,8,3,6,5,0,1
Giannina,Volos NFC,1,1,D,0,0,D,12,11,3,2,23,13,4,7,5,2,0,0
Olympiakos,PAOK,2,4,A,0,1,A,11,10,6,5,14,11,7,2,3,2,0,0
Aris,Atromitos,1,3,A,1,1,D,16,8,5,6,14,18,9,2,3,4,0,0
Panserraikos,OFI Crete,2,1,H,1,1,D,9,15,4,3,18,13,4,4,3,4,0,0
OFI Crete,Giannina,1,1,D,1,0,H,13,18,5,7,17,14,2,4,2,2,0,0
Atromitos,Panserraikos,1,1,D,0,1,A,12,7,3,2,21,20,5,1,4,4,0,0
Volos NFC,Aris,0,2,A,0,0,D,14,7,5,3,10,18,5,7,4,2,0,0
PAOK,Panetolikos,2,1,H,2,1,H,9,8,2,2,7,14,4,1,2,3,0,0
AEK,Lamia,3,0,H,2,0,H,12,5,5,1,15,15,4,4,3,3,0,0
Asteras Tripolis,Olympiakos,0,2,A,0,0,D,5,13,2,4,7,16,2,5,3,0,0,0
Kifisia,Panathinaikos,0,1,A,0,0,D,4,14,2,6,13,14,0,9,1,3,0,0
OFI Crete,Volos NFC,1,1,D,0,1,A,16,10,6,3,10,17,6,2,3,5,0,1
Olympiakos,Panetolikos,3,1,H,2,1,H,9,8,4,4,20,15,3,2,3,1,0,0
PAOK,Panserraikos,5,0,H,2,0,H,16,7,11,2,3,7,8,3,0,0,0,0
Kifisia,Asteras Tripolis,1,3,A,0,2,A,17,5,6,4,17,15,7,2,2,2,0,0
Giannina,AEK,0,1,A,0,1,A,8,20,4,7,12,13,3,6,3,1,0,0
Lamia,Atromitos,3,3,D,2,2,D,12,11,7,6,11,18,3,8,4,3,0,0
Aris,Panathinaikos,2,0,H,1,0,H,8,14,4,8,19,11,1,9,3,1,0,0
Volos NFC,Panserraikos,1,0,H,0,0,D,11,11,5,4,21,16,3,5,2,4,0,0
Panetolikos,Kifisia,3,0,H,1,0,H,14,8,7,4,17,17,5,6,2,5,0,0
Asteras Tripolis,Panserraikos,1,0,H,0,0,D,9,16,2,4,17,12,5,3,4,4,0,0
Volos NFC,Olympiakos,2,2,D,1,1,D,10,11,4,3,16,8,2,6,7,3,1,1
