HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Trabzonspor,Antalyaspor,1,0,H,1.0,0.0,H,13.0,11.0,5.0,2.0,18.0,11.0,6.0,9.0,0.0,1.0,0.0,0.0
Kasimpasa,Ankaragucu,3,2,H,1.0,0.0,H,15.0,9.0,5.0,3.0,8.0,15.0,3.0,5.0,1.0,0.0,0.0,0.0
Konyaspor,Istanbulspor,1,1,D,0.0,1.0,A,15.0,4.0,2.0,2.0,13.0,10.0,10.0,2.0,3.0,5.0,1.0,2.0
Kayserispor,Galatasaray,0,0,D,0.0,0.0,D,12.0,17.0,3.0,3.0,11.0,6.0,3.0,9.0,2.0,2.0,0.0,0.0
Pendikspor,Hatayspor,1,5,A,0.0,2.0,A,6.0,15.0,4.0,9.0,10.0,18.0,4.0,2.0,0.0,1.0,0.0,0.0
Sivasspor,Samsunspor,1,1,D,1.0,0.0,H,6.0,11.0,2.0,3.0,11.0,11.0,4.0,5.0,2.0,1.0,0.0,0.0
Ad. Demirspor,Rizespor,2,1,H,1.0,0.0,H,9.0,13.0,6.0,4.0,15.0,14.0,4.0,5.0,6.0,6.0,0.0,0.0
Fenerbahce,Gaziantep,2,1,H,2.0,1.0,H,21.0,4.0,5.0,1.0,13.0,12.0,3.0,1.0,0.0,6.0,0.0,1.0
Alanyaspor,Buyuksehyr,2,0,H,1.0,0.0,H,11.0,8.0,4.0,3.0,15.0,14.0,4.0,5.0,5.0,4.0,0.0,1.0
Karagumruk,Besiktas,0,1,A,0.0,0.0,D,2.0,9.0,0.0,6.0,13.0,14.0,4.0,4.0,4.0,1.0,0.0,0.0
Antalyaspor,Konyaspor,1,1,D,0.0,0.0,D,14.0,7.0,3.0,3.0,14.0,12.0,5.0,5.0,2.0,2.0,0.0,0.0
Istanbulspor,Kayserispor,1,1,D,0.0,0.0,D,7.0,9.0,3.0,4.0,11.0,11.0,4.0,6.0,1.0,0.0,0.0,0.0
Rizespor,Alanyaspor,0,0,D,0.0,0.0,D,10.0,8.0,3.0,2.0,12.0,13.0,3.0,3.0,3.0,3.0,0.0,1.0
Galatasaray,Trabzonspor,2,0,H,1.0,0.0,H,15.0,5.0,5.0,1.0,21.0,3.0,7.0,1.0,4.0,3.0,0.0,0.0
Hatayspor,Kasimpasa,0,0,D,0.0,0.0,D,8.0,11.0,2.0,2.0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
Buyuksehyr,Karagumruk,0,2,A,0.0,2.0,A,15.0,9.0,5.0,2.0,11.0,14.0,5.0,4.0,3.0,4.0,0.0,0.0
Besiktas,Pendikspor,1,1,D,1.0,0.0,H,15.0,11.0,6.0,1.0,11.0,9.0,6.0,4.0,4.0,2.0,0.0,0.0
Gaziantep,Sivasspor,1,3,A,0.0,2.0,A,11.0,13.0,2.0,7.0,19.0,16.0,7.0,4.0,6.0,4.0,0.0,0.0
Ankaragucu,Ad. Demirspor,1,1,D,1.0,1.0,D,18.0,12.0,5.0,4.0,9.0,10.0,3.0,4.0,1.0,1.0,0.0,0.0
Samsunspor,Fenerbahce,0,2,A,0.0,0.0,D,5.0,13.0,1.0,6.0,11.0,10.0,2.0,5.0,1.0,1.0,0.0,0.0
Konyaspor,Gaziantep,2,0,H,0.0,0.0,D,17.0,8.0,8.0,3.0,9.0,8.0,10.0,2.0,1.0,2.0,0.0,0.0
Kasimpasa,Pendikspor,1,1,D,0.0,1.0,A,7.0,16.0,3.0,6.0,10.0,19.0,9.0,2.0,3.0,2.0,0.0,1.0
Trabzonspor,Rizespor,2,3,A,0.0,2.0,A,20.0,12.0,7.0,7.0,10.0,17.0,9.0,2.0,1.0,2.0,0.0,0.0
Sivasspor,Antalyaspor,1,1,D,1.0,1.0,D,6.0,8.0,2.0,4.0,11.0,15.0,3.0,4.0,3.0,3.0,0.0,0.0
Karagumruk,Ankaragucu,1,1,D,1.0,0.0,H,6.0,7.0,2.0,5.0,15.0,12.0,3.0,5.0,1.0,1.0,0.0,0.0
